org,actor,type,event_months,event_weight,max_event_type_freq,event_type_most_common,event_type_diversity,months_pct,engagement_score
caffe2,01y,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,06094051,ForkEvent,1,0,1,ForkEvent,1,0.2,0.2
caffe2,0wu,IssueCommentEvent,1,1,1,IssueCommentEvent,1,0.2,0.22
caffe2,0x414c,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,0xpwn,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,1013553207,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,13983607003,ForkEvent,1,0,1,ForkEvent,1,0.2,0.2
caffe2,307783,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,315567599,ForkEvent,1,0,1,ForkEvent,1,0.2,0.2
caffe2,3b295,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,404fovnd,ForkEvent,1,0,1,ForkEvent,1,0.2,0.2
caffe2,4DLCREATE,ForkEvent,1,0,1,ForkEvent,1,0.2,0.2
caffe2,5a43,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,741zxc606,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,757113854,ForkEvent,1,0,1,ForkEvent,1,0.2,0.2
caffe2,7oud,IssueCommentEvent,2,2,2,IssueCommentEvent,2,0.3,0.33999999999999997
caffe2,7oud,IssuesEvent,2,2,2,IssuesEvent,2,0.3,0.33999999999999997
caffe2,935048000,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,981935539,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,994374821,IssuesEvent,2,2,2,IssuesEvent,1,0.3,0.33999999999999997
caffe2,a-rogues-gallery,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aaron43071p,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aaronsey,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aazzolini,ForkEvent,1,0,1,ForkEvent,2,0.2,0.2
caffe2,aazzolini,WatchEvent,1,0,1,WatchEvent,2,0.2,0.2
caffe2,ab-sin-the,ForkEvent,1,0,1,ForkEvent,1,0.2,0.2
caffe2,abakane1,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,AbangSD,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,ABcDexter,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,abdulazismaulana,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,abhi-kumar,ForkEvent,1,0,1,ForkEvent,3,0.2,0.2
caffe2,abhi-kumar,IssueCommentEvent,1,1,1,IssueCommentEvent,3,0.2,0.22
caffe2,abhi-kumar,PullRequestEvent,1,2,1,PullRequestEvent,3,0.2,0.24000000000000002
caffe2,abhi-rf,IssueCommentEvent,1,1,1,IssueCommentEvent,1,0.2,0.22
caffe2,abhinavtech,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,AbhirajHinge,IssueCommentEvent,1,1,1,IssueCommentEvent,2,0.2,0.22
caffe2,AbhirajHinge,IssuesEvent,1,2,1,IssuesEvent,2,0.2,0.24000000000000002
caffe2,abhishekrana,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,abreheret,ForkEvent,1,0,1,ForkEvent,2,0.2,0.2
caffe2,abreheret,WatchEvent,1,0,1,WatchEvent,2,0.2,0.2
caffe2,abrichr,ForkEvent,1,0,1,ForkEvent,2,0.2,0.2
caffe2,abrichr,PullRequestEvent,1,2,1,PullRequestEvent,2,0.2,0.24000000000000002
caffe2,absurdliyang,IssueCommentEvent,1,1,1,IssueCommentEvent,2,0.2,0.22
caffe2,absurdliyang,IssuesEvent,1,2,1,IssuesEvent,2,0.2,0.24000000000000002
caffe2,Ac2zoom,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aca10jl,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,ACAVJW4H,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,acewjh,IssueCommentEvent,1,1,1,IssueCommentEvent,2,0.2,0.22
caffe2,acewjh,IssuesEvent,1,2,1,IssuesEvent,2,0.2,0.24000000000000002
caffe2,acnokegoo,IssueCommentEvent,1,1,1,IssueCommentEvent,2,0.2,0.22
caffe2,acnokegoo,IssuesEvent,1,2,1,IssuesEvent,2,0.2,0.24000000000000002
caffe2,actank,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,activars,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,adalisan,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,adavoudi,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,Addlian,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,adepace2,IssuesEvent,1,2,1,IssuesEvent,1,0.2,0.24000000000000002
caffe2,ADHwang,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aditijadhav38,IssueCommentEvent,1,2,1,IssueCommentEvent,1,0.2,0.24000000000000002
caffe2,Adolfawa,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,Adventurous1,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,advorkin,IssueCommentEvent,1,1,1,IssueCommentEvent,1,0.2,0.22
caffe2,Aeidelos,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aeioaeu,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aeloyq,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,afantee,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,afcarl,ForkEvent,2,0,1,ForkEvent,1,0.3,0.3
caffe2,afritzler,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,afterc,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,again4you,PullRequestReviewCommentEvent,1,1,1,PullRequestReviewCommentEvent,1,0.2,0.22
caffe2,agdyangkang,ForkEvent,1,0,1,ForkEvent,1,0.2,0.2
caffe2,agilmor,IssueCommentEvent,1,1,1,IssueCommentEvent,1,0.2,0.22
caffe2,agluska,IssuesEvent,1,2,1,IssuesEvent,1,0.2,0.24000000000000002
caffe2,aGrimes94,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aguardar,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,ahkarami,IssueCommentEvent,2,1,2,IssueCommentEvent,2,0.3,0.32
caffe2,ahkarami,IssuesEvent,1,2,1,IssuesEvent,2,0.2,0.24000000000000002
caffe2,Ahmedfcis,IssueCommentEvent,1,1,1,IssueCommentEvent,1,0.2,0.22
caffe2,Ahmedfcis,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,ahujwcao,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,ai-systems,ForkEvent,1,0,1,ForkEvent,1,0.2,0.2
caffe2,aiifabbf,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aion82,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,airysen,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,aiyi2099,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,AIZERO,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,ajinkyapuar,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,ajphukan,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,AJSir,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,ajtulloch,IssueCommentEvent,2,1,2,IssueCommentEvent,1,0.3,0.32
caffe2,akai-z,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,akakcolin,IssueCommentEvent,1,1,1,IssueCommentEvent,1,0.2,0.22
caffe2,akatoshking,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,akhabali,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
caffe2,akiozihao,WatchEvent,1,0,1,WatchEvent,1,0.2,0.2
