org,repo,actor,event_month,type,events,event_weight,event_type_diversity,event_type_freq
caffe2,AICamera,741zxc606,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,Ac2zoom,2018-06-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,afcarl,2018-06-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,akatoshking,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,AlexanderRadionov,2018-06-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,andyli,2018-05-01T07:00:00Z,IssueCommentEvent,1,1,2,1
caffe2,AICamera,andyli,2018-05-01T07:00:00Z,PullRequestEvent,1,2,2,1
caffe2,AICamera,blackkensai,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,bubo0,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,budiman11120905,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,bwasti,2018-02-01T08:00:00Z,ForkEvent,1,0,2,1
caffe2,AICamera,bwasti,2018-02-01T08:00:00Z,PullRequestEvent,1,2,2,2
caffe2,AICamera,bwasti,2018-03-01T08:00:00Z,PullRequestEvent,1,2,2,2
caffe2,AICamera,bwasti,2018-03-01T08:00:00Z,PushEvent,1,2,2,1
caffe2,AICamera,ByGreez,2018-06-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,byungjikroh,2018-05-01T07:00:00Z,WatchEvent,2,1,1,1
caffe2,AICamera,caffe2,2018-02-01T08:00:00Z,MemberEvent,6,2,1,1
caffe2,AICamera,caitiancai,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,chasedreamer,2018-03-01T08:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,Christopheraburns,2018-02-01T08:00:00Z,IssuesEvent,1,2,1,1
caffe2,AICamera,chubylive,2018-02-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,claytonblythe,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,codernaut,2018-03-01T08:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,crz1336768325,2018-03-01T08:00:00Z,WatchEvent,2,1,1,1
caffe2,AICamera,daihk,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,daizeng1984,2018-04-01T07:00:00Z,ForkEvent,1,0,2,1
caffe2,AICamera,daizeng1984,2018-04-01T07:00:00Z,WatchEvent,1,0,2,1
caffe2,AICamera,davidishere,2018-02-01T08:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,detectRecog,2018-05-01T07:00:00Z,IssueCommentEvent,1,1,1,1
caffe2,AICamera,Essarelle,2018-04-01T07:00:00Z,WatchEvent,2,1,1,1
caffe2,AICamera,ethan2lee,2018-04-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,Evangeb,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,ExQDev,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,fangmingbnu,2018-03-01T08:00:00Z,ForkEvent,2,1,3,1
caffe2,AICamera,fangmingbnu,2018-03-01T08:00:00Z,IssueCommentEvent,2,1,3,1
caffe2,AICamera,fangmingbnu,2018-03-01T08:00:00Z,IssuesEvent,1,2,3,1
caffe2,AICamera,fanser,2018-06-01T07:00:00Z,IssuesEvent,1,2,1,1
caffe2,AICamera,farhan333,2018-05-01T07:00:00Z,WatchEvent,2,1,1,1
caffe2,AICamera,felixwang,2018-04-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,ffadilaputra,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,flyhighzy,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,FoolishYu,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,Frank-Xu0818,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,gigwegbe,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,Gokkulnath,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,Goku132,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,goldsborough,2018-02-01T08:00:00Z,IssueCommentEvent,1,1,3,1
caffe2,AICamera,goldsborough,2018-02-01T08:00:00Z,PullRequestEvent,1,2,3,2
caffe2,AICamera,goldsborough,2018-02-01T08:00:00Z,PushEvent,1,2,3,2
caffe2,AICamera,goldsborough,2018-03-01T08:00:00Z,PullRequestEvent,1,2,2,2
caffe2,AICamera,goldsborough,2018-03-01T08:00:00Z,PushEvent,2,2,2,2
caffe2,AICamera,GreenLabPk,2018-03-01T08:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,HanqingLee,2018-03-01T08:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,hawskpy,2018-06-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,hhlgithub,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,himankmaan,2018-04-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,ideaRunner,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,jacklam718,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,JeeheonKim,2018-06-01T07:00:00Z,ForkEvent,1,0,2,1
caffe2,AICamera,JeeheonKim,2018-06-01T07:00:00Z,WatchEvent,1,0,2,1
caffe2,AICamera,jeetdholakia,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,jiankaiwang,2018-04-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,jorge-pessoa,2018-06-01T07:00:00Z,IssueCommentEvent,1,1,1,1
caffe2,AICamera,justTalk,2018-04-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,kindlychung,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,Kogl1n,2018-03-01T08:00:00Z,ForkEvent,1,0,2,1
caffe2,AICamera,Kogl1n,2018-03-01T08:00:00Z,WatchEvent,2,1,2,1
caffe2,AICamera,lbin,2018-03-01T08:00:00Z,WatchEvent,2,1,1,1
caffe2,AICamera,libralc,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,luisvega23,2018-06-01T07:00:00Z,IssueCommentEvent,2,1,1,1
caffe2,AICamera,luojie1024,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,luteresa,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,luvyouso,2018-06-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,luyuhua,2018-03-01T08:00:00Z,IssueCommentEvent,1,1,1,1
caffe2,AICamera,manguluka,2018-04-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,moizsajid,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,mythilivadali,2018-02-01T08:00:00Z,ForkEvent,1,0,2,2
caffe2,AICamera,mythilivadali,2018-02-01T08:00:00Z,IssuesEvent,1,2,2,1
caffe2,AICamera,mythilivadali,2018-03-01T08:00:00Z,ForkEvent,1,0,2,2
caffe2,AICamera,mythilivadali,2018-03-01T08:00:00Z,IssueCommentEvent,1,1,2,1
caffe2,AICamera,NoneLand,2018-06-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,oncealong,2018-02-01T08:00:00Z,WatchEvent,2,1,1,1
caffe2,AICamera,onlyguy,2018-06-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,orionr,2018-02-01T08:00:00Z,PullRequestReviewCommentEvent,1,1,1,1
caffe2,AICamera,orionr,2018-03-01T08:00:00Z,ForkEvent,1,0,5,1
caffe2,AICamera,orionr,2018-03-01T08:00:00Z,IssueCommentEvent,2,1,5,1
caffe2,AICamera,orionr,2018-03-01T08:00:00Z,IssuesEvent,1,2,5,1
caffe2,AICamera,orionr,2018-03-01T08:00:00Z,PullRequestEvent,5,2,5,1
caffe2,AICamera,orionr,2018-03-01T08:00:00Z,PushEvent,1,2,5,1
caffe2,AICamera,pawanman56,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,postal007,2018-02-01T08:00:00Z,PushEvent,2,2,1,1
caffe2,AICamera,qsheeeeen,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,reeebot,2018-04-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,RichieMay,2018-05-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,ritchieng,2018-05-01T07:00:00Z,WatchEvent,2,1,1,1
caffe2,AICamera,rlegithub,2018-05-01T07:00:00Z,IssueCommentEvent,1,1,2,1
caffe2,AICamera,rlegithub,2018-05-01T07:00:00Z,IssuesEvent,1,2,2,1
caffe2,AICamera,rsantina,2018-03-01T08:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,shubhampachori12110095,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,soul7630,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,spencial,2018-03-01T08:00:00Z,ForkEvent,2,1,4,1
caffe2,AICamera,spencial,2018-03-01T08:00:00Z,IssueCommentEvent,4,2,4,1
caffe2,AICamera,spencial,2018-03-01T08:00:00Z,PullRequestEvent,1,2,4,1
caffe2,AICamera,spencial,2018-03-01T08:00:00Z,WatchEvent,1,0,4,1
caffe2,AICamera,super0086,2018-04-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,Swall0w,2018-02-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,SyrianSpock,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,TangShengqin,2018-04-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,TFGT,2018-05-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,TianFuKang,2018-03-01T08:00:00Z,ForkEvent,1,0,2,1
caffe2,AICamera,TianFuKang,2018-03-01T08:00:00Z,WatchEvent,1,0,2,1
caffe2,AICamera,toanhvu,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,tornadory,2018-04-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,trinh-binh,2018-03-01T08:00:00Z,ForkEvent,1,0,2,1
caffe2,AICamera,trinh-binh,2018-03-01T08:00:00Z,IssuesEvent,1,2,2,2
caffe2,AICamera,trinh-binh,2018-05-01T07:00:00Z,IssuesEvent,1,2,1,2
caffe2,AICamera,uelordi01,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,why702,2018-05-01T07:00:00Z,IssueCommentEvent,1,1,2,1
caffe2,AICamera,why702,2018-05-01T07:00:00Z,WatchEvent,1,0,2,1
caffe2,AICamera,winter1988,2018-06-01T07:00:00Z,IssueCommentEvent,1,1,1,1
caffe2,AICamera,wxianfeng,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,xdever,2018-05-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,xieshuigeng,2018-05-01T07:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,xudjx,2018-02-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,XuewenLiao,2018-05-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,xxzj990,2018-03-01T08:00:00Z,WatchEvent,1,0,1,1
caffe2,AICamera,YanHsia,2018-05-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,YiLin-Chen,2018-05-01T07:00:00Z,IssueCommentEvent,3,2,1,1
caffe2,AICamera,zcylno,2018-05-01T07:00:00Z,ForkEvent,1,0,1,1
caffe2,AICamera,zgsxwsdxg,2018-03-01T08:00:00Z,ForkEvent,1,0,1,1
