org,repo,event_month,type,events,actors
caffe2,AICamera,2018-02-01T08:00:00Z,ForkEvent,3,3
caffe2,AICamera,2018-02-01T08:00:00Z,IssueCommentEvent,1,1
caffe2,AICamera,2018-02-01T08:00:00Z,IssuesEvent,2,2
caffe2,AICamera,2018-02-01T08:00:00Z,MemberEvent,6,1
caffe2,AICamera,2018-02-01T08:00:00Z,PullRequestEvent,2,2
caffe2,AICamera,2018-02-01T08:00:00Z,PullRequestReviewCommentEvent,1,1
caffe2,AICamera,2018-02-01T08:00:00Z,PushEvent,3,2
caffe2,AICamera,2018-02-01T08:00:00Z,WatchEvent,5,4
caffe2,AICamera,2018-03-01T08:00:00Z,ForkEvent,15,13
caffe2,AICamera,2018-03-01T08:00:00Z,IssueCommentEvent,10,5
caffe2,AICamera,2018-03-01T08:00:00Z,IssuesEvent,3,3
caffe2,AICamera,2018-03-01T08:00:00Z,PullRequestEvent,8,4
caffe2,AICamera,2018-03-01T08:00:00Z,PushEvent,4,3
caffe2,AICamera,2018-03-01T08:00:00Z,WatchEvent,25,22
caffe2,AICamera,2018-04-01T07:00:00Z,ForkEvent,4,4
caffe2,AICamera,2018-04-01T07:00:00Z,WatchEvent,11,10
caffe2,AICamera,2018-05-01T07:00:00Z,ForkEvent,6,6
caffe2,AICamera,2018-05-01T07:00:00Z,IssueCommentEvent,9,6
caffe2,AICamera,2018-05-01T07:00:00Z,IssuesEvent,3,3
caffe2,AICamera,2018-05-01T07:00:00Z,PullRequestEvent,1,1
caffe2,AICamera,2018-05-01T07:00:00Z,WatchEvent,26,23
caffe2,AICamera,2018-06-01T07:00:00Z,ForkEvent,4,4
caffe2,AICamera,2018-06-01T07:00:00Z,IssueCommentEvent,4,3
caffe2,AICamera,2018-06-01T07:00:00Z,IssuesEvent,1,1
caffe2,AICamera,2018-06-01T07:00:00Z,WatchEvent,8,8
caffe2,BlueWhale,2018-01-01T08:00:00Z,ForkEvent,2,2
caffe2,BlueWhale,2018-01-01T08:00:00Z,IssueCommentEvent,2,1
caffe2,BlueWhale,2018-01-01T08:00:00Z,IssuesEvent,1,1
caffe2,BlueWhale,2018-01-01T08:00:00Z,PullRequestEvent,1,1
caffe2,BlueWhale,2018-01-01T08:00:00Z,PushEvent,8,1
caffe2,BlueWhale,2018-01-01T08:00:00Z,WatchEvent,17,17
caffe2,BlueWhale,2018-02-01T08:00:00Z,ForkEvent,1,1
caffe2,BlueWhale,2018-02-01T08:00:00Z,IssueCommentEvent,1,1
caffe2,BlueWhale,2018-02-01T08:00:00Z,PushEvent,14,1
caffe2,BlueWhale,2018-02-01T08:00:00Z,WatchEvent,2,2
caffe2,BlueWhale,2018-03-01T08:00:00Z,IssueCommentEvent,1,1
caffe2,BlueWhale,2018-03-01T08:00:00Z,PushEvent,12,1
caffe2,BlueWhale,2018-03-01T08:00:00Z,WatchEvent,4,4
caffe2,BlueWhale,2018-04-01T07:00:00Z,ForkEvent,1,1
caffe2,BlueWhale,2018-04-01T07:00:00Z,PushEvent,1,1
caffe2,caffe,2018-01-01T08:00:00Z,WatchEvent,1,1
caffe2,caffe,2018-03-01T08:00:00Z,WatchEvent,2,2
caffe2,caffe2,2018-01-01T08:00:00Z,CreateEvent,7,2
